train_dataset,pheno,num_train,r_med,r_lower,r_upper,mae_med,mae_lower,mae_upper,p_mae_gt
hbn,age,20,0.3806686287220914,0.1706972050716055,0.5273807335683935,33.07069622094669,28.861489853451555,38.14180338026495,0.002
hbn,age,25,0.3940344495135695,0.1338549993611176,0.5223565384374457,32.39720076589476,28.455748620927388,37.651295709593846,0.002
hbn,age,32,0.4228336131155384,0.184315207163679,0.5944238936492018,31.538778904245877,27.643634088769936,36.04902091622783,0.002
hbn,age,41,0.443670741134165,0.3500318650865411,0.5842520162681801,30.66294461827271,26.996091701952835,35.76493036226954,0.002
hbn,age,52,0.4728844202174239,0.3676470071392499,0.61180530368143,29.555309096468616,26.07284701013612,35.20053410384394,0.002
hbn,age,67,0.5052244532972106,0.3980352609004071,0.6054116823480631,28.96389536133785,25.936772439047147,32.078364819965664,0.002
hbn,age,85,0.5312315148336665,0.4218850265441269,0.6325333650684588,28.473204392566984,25.19803980235477,31.56839256790168,0.002
hbn,age,108,0.5423365323731753,0.4514945137474377,0.6383964589026233,27.78462914459638,24.40934170768167,30.627023365836397,0.002
hbn,age,137,0.5676584953062691,0.4452620816103337,0.6536870974009188,27.08949614832267,23.72859733945994,30.103766165677555,0.002
hbn,age,174,0.5847599454701309,0.4766518165049693,0.6628164968080246,26.837181731773075,23.370048316613023,29.805517281880544,0.002
hbn,age,221,0.5920348595648943,0.5116341898831517,0.6638848607518747,26.553898947074,23.73834889919184,29.469677583103625,0.002
hbn,age,281,0.6058095808141231,0.5188739402003195,0.6847796861494202,26.174305056301115,23.24915482413001,28.814635388284398,0.002
hbn,age,358,0.6263745275082517,0.5539436538206552,0.6947826402560688,25.652828950619337,22.429093071680168,28.078589198522124,0.002
hbn,age,455,0.6382777142291522,0.5726184636850237,0.7062883812736153,25.18658956249781,22.609842320165985,27.61948214698033,0.002
hbn,age,578,0.6525564813122999,0.5887346367773183,0.7260389938322067,24.71341163807012,22.350821734237336,27.091237367163707,0.002
hbn,age,735,0.6695163746501649,0.5990503075019413,0.734299254696419,24.26214637192332,21.954715103598502,26.25462021063201,0.002
hbn,age,935,0.6775560778554375,0.6108053174522572,0.7385589796642312,24.051772767218324,21.74315290305392,26.14263957753406,0.002
hbn,age,1001,0.682142626414026,0.6219043570688981,0.7340245065244435,23.96809910518558,21.49868438952256,25.97867441931841,0.002
hcpd,age,20,0.57909564352301,0.3398739484942286,0.7180317827615493,36.11378882355969,27.39659527130432,44.228382029586896,0.002
hcpd,age,25,0.5790068472792215,0.3829291887211715,0.7283696574043803,35.50959136497764,27.064424052411653,42.98792748327647,0.002
hcpd,age,32,0.5927143005051279,0.4298082771739181,0.7342356585117356,32.8922278322825,25.90903506579549,42.32221184334709,0.002
hcpd,age,41,0.6190768775104671,0.4284876929835137,0.7413287377861679,30.794453741876737,25.43439046862141,39.92611458992042,0.002
hcpd,age,52,0.6406649543418601,0.4117157791353423,0.7716379459514983,29.386008898541345,24.903117226390776,39.294105353379365,0.002
hcpd,age,67,0.6728199286832439,0.4484438766063245,0.7640888807098388,28.007822422720988,23.621462976099643,37.40555510893528,0.002
hcpd,age,85,0.6845588334831272,0.5023986497684996,0.7960333126507132,27.387875927076223,22.749849962044784,36.04060150418931,0.002
hcpd,age,108,0.7072745405446887,0.5543870753194549,0.8130755584465189,26.28350279267581,22.65712559447781,34.34114313920013,0.002
hcpd,age,137,0.7118562661988084,0.5352896288710799,0.8218767096117529,25.80569578441422,22.294522763352838,32.89024091035381,0.002
hcpd,age,174,0.7345231996188606,0.6105487005567789,0.8234959163310329,25.343594158510975,21.7572834283108,31.252108872137107,0.002
hcpd,age,221,0.7369655082956053,0.6330308317361695,0.8311485952356988,24.769807489515856,21.39567466833508,30.00151801556888,0.002
hcpd,age,281,0.7522612057264008,0.6491646690791059,0.8445006373933156,24.42674109595596,20.68172030937092,29.43308155912128,0.002
